Id;SeasonNumber;SeriesNumber;Title;StartYear;EndYear;FirstEpisode;LastEpisode
1;1;1;"Die Reise geht weiter";1997;1998;1;22
2;2;1;"Entdecke neue Welten";1998;1999;23;44
3;3;1;"Galaktische Abenteuer";1999;2000;45;66
4;4;1;"Ferne Welten;neue Gefahren";2000;2001;67;88
5;5;1;"In der Hand des Feindes";2001;2002;89;110
6;6;1;"Ein neues Gesicht";2002;2003;111;132
7;7;1;"Auf der Suche nach der Stadt der Antiker";2003;2004;133;154
8;8;1;"In die Zukunft und wieder zurück";2004;2005;155;174
9;1;2;"Staffel 1 - Atlantis";2004;2005;1;20
10;9;1;"Eine große Herausforderung";2005;2006;175;194
11;2;2;"Staffel 2 - Atlantis";2005;2006;21;40
12;10;1;"Neue Kämpfe mit alten Feinden";2006;2007;195;214
13;3;2;"Staffel 3 - Atlantis";2006;2007;41;60
14;4;2;"Staffel 4 - Atlantis";2007;2008;61;80
15;1;0;"SG1 - Film - Fortsetzungen";2008;2008;1;1
16;5;2;"Staffel 5 - Atlantis";2008;2009;81;100
17;1;3;"Staffel 1 - Universe";2009;2010;1;20
18;2;3;"Staffel 2 - Universe";2010;2011;21;40
19;1;4;"START";1993;1994;1;24
